"state","state_abbreviation","county","fips","party","winner"
"Maine","ME","Baileyville",92300025,"Democrat","Bernie Sanders"
"Maine","ME","Bancroft",92300027,"Democrat","Bernie Sanders"
"Maine","ME","Bancroft",92300027,"Democrat","Hillary Clinton"
"Maine","ME","Bangor",92300028,"Democrat","Bernie Sanders"
"Maine","ME","Bar Harbor",92300029,"Democrat","Bernie Sanders"
"Maine","ME","Baring Plt.",92300030,"Democrat","Bernie Sanders"
"Maine","ME","Bath",92300031,"Democrat","Bernie Sanders"
"Maine","ME","Beals",92300032,"Democrat","Bernie Sanders"
"Maine","ME","Beaver Cove",92300033,"Democrat","Hillary Clinton"
"Maine","ME","Beddington",92300034,"Democrat","Hillary Clinton"
"Maine","ME","Belfast",92300035,"Democrat","Bernie Sanders"
"Maine","ME","Belgrade",92300036,"Democrat","Bernie Sanders"
"Maine","ME","Belmont",92300037,"Democrat","Bernie Sanders"
"Maine","ME","Berwick",92300040,"Democrat","Bernie Sanders"
"Maine","ME","Biddeford",92300042,"Democrat","Bernie Sanders"
"Maine","ME","Blue Hill",92300045,"Democrat","Bernie Sanders"
"Maine","ME","Boothbay",92300046,"Democrat","Bernie Sanders"
"Maine","ME","Boothbay Harbor",92300047,"Democrat","Bernie Sanders"
"Maine","ME","Boothbay Harbor",92300047,"Democrat","Hillary Clinton"
"Maine","ME","Bowdoin",92300048,"Democrat","Bernie Sanders"
"Maine","ME","Bowdoinham",92300049,"Democrat","Bernie Sanders"
"Maine","ME","Bowerbank",92300050,"Democrat","Bernie Sanders"
"Maine","ME","Bowerbank",92300050,"Democrat","Hillary Clinton"
"Maine","ME","Bradley",92300052,"Democrat","Bernie Sanders"
"Maine","ME","Bremen",92300053,"Democrat","Bernie Sanders"
"Maine","ME","Bremen",92300053,"Democrat","Hillary Clinton"
"Maine","ME","Brewer",92300054,"Democrat","Bernie Sanders"
"Maine","ME","Bridgewater",92300055,"Democrat","Bernie Sanders"
"Maine","ME","Bridgton",92300056,"Democrat","Bernie Sanders"
"Maine","ME","Bridgton",92300056,"Democrat","Hillary Clinton"
"Maine","ME","Brighton Plt.",92300057,"Democrat","Bernie Sanders"
"Maine","ME","Brooklin",92300059,"Democrat","Bernie Sanders"
"Maine","ME","Brooklin",92300059,"Democrat","Hillary Clinton"
"Maine","ME","Brooks",92300060,"Democrat","Bernie Sanders"
"Maine","ME","Brooksville",92300061,"Democrat","Bernie Sanders"
"Maine","ME","Brooksville",92300061,"Democrat","Hillary Clinton"
"Maine","ME","Brownfield",92300063,"Democrat","Bernie Sanders"
"Maine","ME","Brownville",92300064,"Democrat","Bernie Sanders"
"Maine","ME","Buckfield",92300066,"Democrat","Bernie Sanders"
"Maine","ME","Buckfield",92300066,"Democrat","Hillary Clinton"
"Maine","ME","Bucksport",92300067,"Democrat","Bernie Sanders"
"Maine","ME","Burlington",92300068,"Democrat","Bernie Sanders"
"Maine","ME","Burnham",92300069,"Democrat","Bernie Sanders"
"Maine","ME","Burnham",92300069,"Democrat","Hillary Clinton"
"Maine","ME","Buxton",92300070,"Democrat","Bernie Sanders"
"Maine","ME","Byron",92300071,"Democrat","Bernie Sanders"
"Maine","ME","Cambridge",92300073,"Democrat","Bernie Sanders"
"Maine","ME","Canton",92300076,"Democrat","Bernie Sanders"
"Maine","ME","Cape Elizabeth",92300077,"Democrat","Hillary Clinton"
"Maine","ME","Caratunk",92300078,"Democrat","Bernie Sanders"
"Maine","ME","Caratunk",92300078,"Democrat","Hillary Clinton"
"Maine","ME","Carmel",92300080,"Democrat","Bernie Sanders"
"Maine","ME","Carrabassett Valley",92300081,"Democrat","Bernie Sanders"
"Maine","ME","Carrabassett Valley",92300081,"Democrat","Hillary Clinton"
"Maine","ME","Carroll Plt.",92300082,"Democrat","Bernie Sanders"
"Maine","ME","Carroll Plt.",92300082,"Democrat","Hillary Clinton"
"Maine","ME","Carthage",92300083,"Democrat","Bernie Sanders"
"Maine","ME","Cary Plt.",92300084,"Democrat","Bernie Sanders"
"Maine","ME","Cary Plt.",92300084,"Democrat","Hillary Clinton"
"Maine","ME","Casco",92300085,"Democrat","Bernie Sanders"
"Maine","ME","Castine",92300086,"Democrat","Bernie Sanders"
"Maine","ME","Castle Hill",92300087,"Democrat","Bernie Sanders"
"Maine","ME","Caswell",92300088,"Democrat","Hillary Clinton"
"Maine","ME","Chapman",92300090,"Democrat","Bernie Sanders"
"Maine","ME","Charlotte",92300092,"Democrat","Bernie Sanders"
"Maine","ME","Chebeague Island",92300521,"Democrat","Bernie Sanders"
"Maine","ME","Chebeague Island",92300521,"Democrat","Hillary Clinton"
"Maine","ME","Cherryfield",92300094,"Democrat","Bernie Sanders"
"Maine","ME","Chester",92300095,"Democrat","Bernie Sanders"
"Maine","ME","Chesterville",92300096,"Democrat","Bernie Sanders"
"Maine","ME","China",92300097,"Democrat","Bernie Sanders"
"Maine","ME","Clifton",92300098,"Democrat","Bernie Sanders"
"Maine","ME","Columbia",92300101,"Democrat","Bernie Sanders"
"Maine","ME","Columbia Falls",92300102,"Democrat","Bernie Sanders"
"Maine","ME","Cooper",92300104,"Democrat","Bernie Sanders"
"Maine","ME","Coplin Plt.",92300105,"Democrat","Bernie Sanders"
"Maine","ME","Coplin Plt.",92300105,"Democrat","Hillary Clinton"
"Maine","ME","Corinna",92300106,"Democrat","Bernie Sanders"
"Maine","ME","Corinna",92300106,"Democrat","Hillary Clinton"
"Maine","ME","Cornish",92300108,"Democrat","Bernie Sanders"
"Maine","ME","Cornville",92300109,"Democrat","Bernie Sanders"
"Maine","ME","Cranberry Isles",92300110,"Democrat","Bernie Sanders"
"Maine","ME","Crawford",92300111,"Democrat","Hillary Clinton"
"Maine","ME","Crystal",92300112,"Democrat","Bernie Sanders"
"Maine","ME","Cushing",92300114,"Democrat","Bernie Sanders"
"Maine","ME","Cutler",92300115,"Democrat","Bernie Sanders"
"Maine","ME","Cyr Plt.",92300116,"Democrat","Bernie Sanders"
"Maine","ME","Dallas Plt.",92300117,"Democrat","Bernie Sanders"
"Maine","ME","Dallas Plt.",92300117,"Democrat","Hillary Clinton"
"Maine","ME","Damariscotta",92300118,"Democrat","Bernie Sanders"
"Maine","ME","Danforth",92300119,"Democrat","Bernie Sanders"
"Maine","ME","Danforth",92300119,"Democrat","Hillary Clinton"
"Maine","ME","Dayton",92300120,"Democrat","Bernie Sanders"
"Maine","ME","Deblois",92300121,"Democrat","Bernie Sanders"
"Maine","ME","Deblois",92300121,"Democrat","Hillary Clinton"
"Maine","ME","Dedham",92300122,"Democrat","Bernie Sanders"
"Maine","ME","Deer Isle",92300123,"Democrat","Bernie Sanders"
"Maine","ME","Denmark",92300124,"Democrat","Bernie Sanders"
"Maine","ME","Dennistown Plt.",92300125,"Democrat","Bernie Sanders"
"Maine","ME","Dennistown Plt.",92300125,"Democrat","Hillary Clinton"
"Maine","ME","Dennysville",92300126,"Democrat","Bernie Sanders"
"Maine","ME","Detroit",92300127,"Democrat","Bernie Sanders"
"Maine","ME","Dexter",92300128,"Democrat","Bernie Sanders"
"Maine","ME","Dixfield",92300129,"Democrat","Bernie Sanders"
"Maine","ME","Dixmont",92300130,"Democrat","Bernie Sanders"
"Maine","ME","Dover-Foxcroft",92300131,"Democrat","Bernie Sanders"
"Maine","ME","Dresden",92300132,"Democrat","Bernie Sanders"
"Maine","ME","Drew Plt.",92300133,"Democrat","Bernie Sanders"
"Maine","ME","Drew Plt.",92300133,"Democrat","Hillary Clinton"
"Maine","ME","Durham",92300134,"Democrat","Bernie Sanders"
"Maine","ME","Dyer Brook",92300135,"Democrat","Bernie Sanders"
"Maine","ME","Dyer Brook",92300135,"Democrat","Hillary Clinton"
"Maine","ME","Eagle Lake",92300136,"Democrat","Hillary Clinton"
"Maine","ME","East Machias",92300138,"Democrat","Bernie Sanders"
"Maine","ME","East Millinocket",92300139,"Democrat","Hillary Clinton"
"Maine","ME","Eastbrook",92300137,"Democrat","Bernie Sanders"
"Maine","ME","Eastbrook",92300137,"Democrat","Hillary Clinton"
"Maine","ME","Eastport",92300141,"Democrat","Bernie Sanders"
"Maine","ME","Eddington",92300142,"Democrat","Bernie Sanders"
"Maine","ME","Edgecomb",92300143,"Democrat","Bernie Sanders"
"Maine","ME","Edinburg",92300144,"Democrat","Hillary Clinton"
"Maine","ME","Eliot",92300146,"Democrat","Bernie Sanders"
"Maine","ME","Ellsworth",92300147,"Democrat","Bernie Sanders"
"Maine","ME","Embden",92300148,"Democrat","Bernie Sanders"
"Maine","ME","Enfield",92300149,"Democrat","Bernie Sanders"
"Maine","ME","Etna",92300150,"Democrat","Bernie Sanders"
"Maine","ME","Eustis",92300151,"Democrat","Bernie Sanders"
"Maine","ME","Exeter",92300152,"Democrat","Bernie Sanders"
"Maine","ME","Falmouth",92300154,"Democrat","Bernie Sanders"
"Maine","ME","Farmingdale",92300155,"Democrat","Bernie Sanders"
"Maine","ME","Farmington",92300156,"Democrat","Bernie Sanders"
"Maine","ME","Fort Fairfield",92300158,"Democrat","Bernie Sanders"
"Maine","ME","Fort Fairfield",92300158,"Democrat","Hillary Clinton"
"Maine","ME","Fort Kent",92300159,"Democrat","Bernie Sanders"
"Maine","ME","Fort Kent",92300159,"Democrat","Hillary Clinton"
"Maine","ME","Frankfort",92300160,"Democrat","Bernie Sanders"
"Maine","ME","Frankfort",92300160,"Democrat","Hillary Clinton"
"Maine","ME","Franklin Cty Townships",92300529,"Democrat","Bernie Sanders"
"Maine","ME","Franklin Cty Townships",92300529,"Democrat","Hillary Clinton"
"Maine","ME","Freedom",92300162,"Democrat","Bernie Sanders"
"Maine","ME","Freeport",92300163,"Democrat","Bernie Sanders"
"Maine","ME","Frenchboro",92300164,"Democrat","Bernie Sanders"
"Maine","ME","Frenchboro",92300164,"Democrat","Hillary Clinton"
"Maine","ME","Frenchville",92300165,"Democrat","Hillary Clinton"
"Maine","ME","Friendship",92300166,"Democrat","Bernie Sanders"
"Maine","ME","Frye Island",92300514,"Democrat","Bernie Sanders"
"Maine","ME","Frye Island",92300514,"Democrat","Hillary Clinton"
"Maine","ME","Fryeburg",92300167,"Democrat","Bernie Sanders"
"Maine","ME","Gardiner",92300168,"Democrat","Bernie Sanders"
"Maine","ME","Garfield Plt.",92300169,"Democrat","Bernie Sanders"
"Maine","ME","Garfield Plt.",92300169,"Democrat","Hillary Clinton"
"Maine","ME","Garland",92300170,"Democrat","Bernie Sanders"
"Maine","ME","Gilead",92300172,"Democrat","Bernie Sanders"
"Maine","ME","Glenburn",92300173,"Democrat","Bernie Sanders"
"Maine","ME","Glenwood Plt.",92300174,"Democrat","Bernie Sanders"
"Maine","ME","Glenwood Plt.",92300174,"Democrat","Hillary Clinton"
"Maine","ME","Gorham",92300175,"Democrat","Bernie Sanders"
"Maine","ME","Gouldsboro",92300176,"Democrat","Bernie Sanders"
"Maine","ME","Grand Lake Stream Plt",92300178,"Democrat","Bernie Sanders"
"Maine","ME","Grand Lake Stream Plt",92300178,"Democrat","Hillary Clinton"
"Maine","ME","Gray",92300179,"Democrat","Bernie Sanders"
"Maine","ME","Great Pond",92300180,"Democrat","Bernie Sanders"
"Maine","ME","Great Pond",92300180,"Democrat","Hillary Clinton"
"Maine","ME","Greenbush",92300181,"Democrat","Bernie Sanders"
"Maine","ME","Hallowell",92300187,"Democrat","Bernie Sanders"
"Maine","ME","Hamlin",92300188,"Democrat","Bernie Sanders"
"Maine","ME","Hammond",92300189,"Democrat","Bernie Sanders"
"Maine","ME","Hammond",92300189,"Democrat","Hillary Clinton"
"Maine","ME","Hampden",92300190,"Democrat","Bernie Sanders"
"Maine","ME","Hanover",92300192,"Democrat","Bernie Sanders"
"Maine","ME","Harmony",92300193,"Democrat","Bernie Sanders"
"Maine","ME","Harmony",92300193,"Democrat","Hillary Clinton"
"Maine","ME","Harpswell",92300194,"Democrat","Bernie Sanders"
"Maine","ME","Harrington",92300195,"Democrat","Bernie Sanders"
"Maine","ME","Harrington",92300195,"Democrat","Hillary Clinton"
"Maine","ME","Haynesville",92300199,"Democrat","Bernie Sanders"
"Maine","ME","Haynesville",92300199,"Democrat","Hillary Clinton"
"Maine","ME","Hebron",92300200,"Democrat","Bernie Sanders"
"Maine","ME","Hermon",92300201,"Democrat","Bernie Sanders"
"Maine","ME","Hersey",92300202,"Democrat","Bernie Sanders"
"Maine","ME","Hersey",92300202,"Democrat","Hillary Clinton"
"Maine","ME","Highland Plt.",92300203,"Democrat","Bernie Sanders"
"Maine","ME","Highland Plt.",92300203,"Democrat","Hillary Clinton"
"Maine","ME","Hiram",92300204,"Democrat","Bernie Sanders"
"Maine","ME","Hodgdon",92300205,"Democrat","Bernie Sanders"
"Maine","ME","Holden",92300206,"Democrat","Bernie Sanders"
"Maine","ME","Hollis",92300207,"Democrat","Bernie Sanders"
"Maine","ME","Hope",92300208,"Democrat","Bernie Sanders"
"Maine","ME","Houlton",92300209,"Democrat","Bernie Sanders"
"Maine","ME","Howland",92300210,"Democrat","Hillary Clinton"
"Maine","ME","Indian Township Vtng Dst",92300214,"Democrat","Bernie Sanders"
"Maine","ME","Industry",92300215,"Democrat","Bernie Sanders"
"Maine","ME","Island Falls",92300216,"Democrat","Bernie Sanders"
"Maine","ME","Isle Au Haut",92300217,"Democrat","Bernie Sanders"
"Maine","ME","Islesboro",92300218,"Democrat","Bernie Sanders"
"Maine","ME","Jackman",92300219,"Democrat","Bernie Sanders"
"Maine","ME","Jackman",92300219,"Democrat","Hillary Clinton"
"Maine","ME","Jackson",92300220,"Democrat","Bernie Sanders"
"Maine","ME","Jonesboro",92300223,"Democrat","Bernie Sanders"
"Maine","ME","Jonesport",92300224,"Democrat","Bernie Sanders"
"Maine","ME","Kenduskeag",92300225,"Democrat","Bernie Sanders"
"Maine","ME","Kenduskeag",92300225,"Democrat","Hillary Clinton"
"Maine","ME","Kennebunk",92300226,"Democrat","Bernie Sanders"
"Maine","ME","Kennebunkport",92300227,"Democrat","Bernie Sanders"
"Maine","ME","Kingfield",92300228,"Democrat","Bernie Sanders"
"Maine","ME","Kingsbury Plt.",92300230,"Democrat","Bernie Sanders"
"Maine","ME","Kingsbury Plt.",92300230,"Democrat","Hillary Clinton"
"Maine","ME","Kittery",92300231,"Democrat","Bernie Sanders"
"Maine","ME","Kittery",92300231,"Democrat","Hillary Clinton"
"Maine","ME","Knox",92300232,"Democrat","Bernie Sanders"
"Maine","ME","Lake View Plt.",92300234,"Democrat","Bernie Sanders"
"Maine","ME","Lakeville",92300235,"Democrat","Hillary Clinton"
"Maine","ME","Lamoine",92300236,"Democrat","Bernie Sanders"
"Maine","ME","Lee",92300238,"Democrat","Bernie Sanders"
"Maine","ME","Leeds",92300239,"Democrat","Bernie Sanders"
"Maine","ME","Levant",92300240,"Democrat","Bernie Sanders"
"Maine","ME","Lewiston",92300241,"Democrat","Bernie Sanders"
"Maine","ME","Limerick",92300243,"Democrat","Bernie Sanders"
"Maine","ME","Limington",92300245,"Democrat","Bernie Sanders"
"Maine","ME","Lincoln Plt.",92300247,"Democrat","Bernie Sanders"
"Maine","ME","Lincoln Plt.",92300247,"Democrat","Hillary Clinton"
"Maine","ME","Lincolnville",92300248,"Democrat","Bernie Sanders"
"Maine","ME","Linneus",92300249,"Democrat","Bernie Sanders"
"Maine","ME","Lisbon",92300250,"Democrat","Bernie Sanders"
"Maine","ME","Litchfield",92300251,"Democrat","Bernie Sanders"
"Maine","ME","Livermore",92300253,"Democrat","Bernie Sanders"
"Maine","ME","Livermore Falls",92300254,"Democrat","Bernie Sanders"
"Maine","ME","Long Island",92300255,"Democrat","Bernie Sanders"
"Maine","ME","Lovell",92300256,"Democrat","Bernie Sanders"
"Maine","ME","Lowell",92300257,"Democrat","Bernie Sanders"
"Maine","ME","Lubec",92300258,"Democrat","Bernie Sanders"
"Maine","ME","Ludlow",92300259,"Democrat","Bernie Sanders"
"Maine","ME","Lyman",92300260,"Democrat","Bernie Sanders"
"Maine","ME","Machias",92300261,"Democrat","Bernie Sanders"
"Maine","ME","Machiasport",92300262,"Democrat","Bernie Sanders"
"Maine","ME","Machiasport",92300262,"Democrat","Hillary Clinton"
"Maine","ME","Macwahoc Plt.",92300263,"Democrat","Bernie Sanders"
"Maine","ME","Macwahoc Plt.",92300263,"Democrat","Hillary Clinton"
"Maine","ME","Madawaska",92300264,"Democrat","Hillary Clinton"
"Maine","ME","Magalloway Plt.",92300268,"Democrat","Bernie Sanders"
"Maine","ME","Magalloway Plt.",92300268,"Democrat","Hillary Clinton"
"Maine","ME","Mapleton",92300270,"Democrat","Bernie Sanders"
"Maine","ME","Mapleton",92300270,"Democrat","Hillary Clinton"
"Maine","ME","Mariaville",92300271,"Democrat","Bernie Sanders"
"Maine","ME","Mariaville",92300271,"Democrat","Hillary Clinton"
"Maine","ME","Mars Hill",92300273,"Democrat","Bernie Sanders"
"Maine","ME","Mars Hill",92300273,"Democrat","Hillary Clinton"
"Maine","ME","Marshfield",92300272,"Democrat","Bernie Sanders"
"Maine","ME","Masardis",92300274,"Democrat","Hillary Clinton"
"Maine","ME","Matinicus Isle Plt.",92300276,"Democrat","Bernie Sanders"
"Maine","ME","Matinicus Isle Plt.",92300276,"Democrat","Hillary Clinton"
"Maine","ME","Mattawamkeag",92300277,"Democrat","Bernie Sanders"
"Maine","ME","Maxfield",92300278,"Democrat","Bernie Sanders"
"Maine","ME","Mechanic Falls",92300279,"Democrat","Bernie Sanders"
"Maine","ME","Meddybemps",92300280,"Democrat","Bernie Sanders"
"Maine","ME","Medford",92300281,"Democrat","Bernie Sanders"
"Maine","ME","Medway",92300282,"Democrat","Bernie Sanders"
"Maine","ME","Merrill",92300284,"Democrat","Bernie Sanders"
"Maine","ME","Mexico",92300285,"Democrat","Bernie Sanders"
"Maine","ME","Milbridge",92300286,"Democrat","Bernie Sanders"
"Maine","ME","Milford",92300287,"Democrat","Bernie Sanders"
"Maine","ME","Millinocket",92300288,"Democrat","Hillary Clinton"
"Maine","ME","Milo",92300289,"Democrat","Bernie Sanders"
"Maine","ME","Minot",92300291,"Democrat","Bernie Sanders"
"Maine","ME","Monhegan Plt.",92300292,"Democrat","Bernie Sanders"
"Maine","ME","Monroe",92300294,"Democrat","Bernie Sanders"
"Maine","ME","Monticello",92300296,"Democrat","Bernie Sanders"
"Maine","ME","Monticello",92300296,"Democrat","Hillary Clinton"
"Maine","ME","Montville",92300297,"Democrat","Bernie Sanders"
"Maine","ME","Moose River",92300298,"Democrat","Bernie Sanders"
"Maine","ME","Moose River",92300298,"Democrat","Hillary Clinton"
"Maine","ME","Moro Plt.",92300299,"Democrat","Bernie Sanders"
"Maine","ME","Moro Plt.",92300299,"Democrat","Hillary Clinton"
"Maine","ME","Moscow",92300301,"Democrat","Hillary Clinton"
"Maine","ME","Mount Chase",92300302,"Democrat","Bernie Sanders"
"Maine","ME","Mount Desert",92300303,"Democrat","Bernie Sanders"
"Maine","ME","Mount Vernon",92300304,"Democrat","Bernie Sanders"
"Maine","ME","Naples",92300305,"Democrat","Bernie Sanders"
"Maine","ME","New Canada",92300308,"Democrat","Hillary Clinton"
"Maine","ME","New Gloucester",92300311,"Democrat","Bernie Sanders"
"Maine","ME","New Limerick",92300312,"Democrat","Bernie Sanders"
"Maine","ME","New Portland",92300314,"Democrat","Bernie Sanders"
"Maine","ME","New Portland",92300314,"Democrat","Hillary Clinton"
"Maine","ME","New Sharon",92300316,"Democrat","Bernie Sanders"
"Maine","ME","New Sweden",92300317,"Democrat","Bernie Sanders"
"Maine","ME","New Sweden",92300317,"Democrat","Hillary Clinton"
"Maine","ME","New Vineyard",92300318,"Democrat","Bernie Sanders"
"Maine","ME","Newburgh",92300307,"Democrat","Bernie Sanders"
"Maine","ME","Newburgh",92300307,"Democrat","Hillary Clinton"
"Maine","ME","Newcastle",92300309,"Democrat","Bernie Sanders"
"Maine","ME","Newfield",92300310,"Democrat","Bernie Sanders"
"Maine","ME","Newry",92300315,"Democrat","Bernie Sanders"
"Maine","ME","Nobleboro",92300319,"Democrat","Bernie Sanders"
"Maine","ME","Norridgewock",92300320,"Democrat","Bernie Sanders"
"Maine","ME","North Berwick",92300321,"Democrat","Bernie Sanders"
"Maine","ME","North Yarmouth",92300325,"Democrat","Bernie Sanders"
"Maine","ME","Northfield",92300322,"Democrat","Hillary Clinton"
"Maine","ME","Northport",92300324,"Democrat","Bernie Sanders"
"Maine","ME","Norway",92300326,"Democrat","Bernie Sanders"
"Maine","ME","Oakfield",92300327,"Democrat","Bernie Sanders"
"Maine","ME","Oakfield",92300327,"Democrat","Hillary Clinton"
"Maine","ME","Oakland",92300328,"Democrat","Hillary Clinton"
"Maine","ME","Ogunquit",92300329,"Democrat","Hillary Clinton"
"Maine","ME","Old Orchrd Bch",92300330,"Democrat","Bernie Sanders"
"Maine","ME","Old Town",92300331,"Democrat","Bernie Sanders"
"Maine","ME","Orient",92300332,"Democrat","Bernie Sanders"
"Maine","ME","Orient",92300332,"Democrat","Hillary Clinton"
"Maine","ME","Orland",92300333,"Democrat","Bernie Sanders"
"Maine","ME","Orono",92300335,"Democrat","Bernie Sanders"
"Maine","ME","Orrington",92300336,"Democrat","Bernie Sanders"
"Maine","ME","Osborn",92300337,"Democrat","Bernie Sanders"
"Maine","ME","Osborn",92300337,"Democrat","Hillary Clinton"
"Maine","ME","Otis",92300338,"Democrat","Hillary Clinton"
"Maine","ME","Otisfield",92300339,"Democrat","Bernie Sanders"
"Maine","ME","Owl's Head",92300340,"Democrat","Bernie Sanders"
"Maine","ME","Oxbow Plt.",92300341,"Democrat","Bernie Sanders"
"Maine","ME","Oxbow Plt.",92300341,"Democrat","Hillary Clinton"
"Maine","ME","Oxford",92300342,"Democrat","Bernie Sanders"
"Maine","ME","Oxford Cty Townships",92300531,"Democrat","Bernie Sanders"
"Maine","ME","Oxford Cty Townships",92300531,"Democrat","Hillary Clinton"
"Maine","ME","Palermo",92300343,"Democrat","Bernie Sanders"
"Maine","ME","Palmyra",92300344,"Democrat","Bernie Sanders"
"Maine","ME","Paris",92300345,"Democrat","Bernie Sanders"
"Maine","ME","Parkman",92300346,"Democrat","Bernie Sanders"
"Maine","ME","Parsonsfield",92300347,"Democrat","Bernie Sanders"
"Maine","ME","Passadumkeag",92300348,"Democrat","Bernie Sanders"
"Maine","ME","Patten",92300349,"Democrat","Bernie Sanders"
"Maine","ME","Patten",92300349,"Democrat","Hillary Clinton"
"Maine","ME","Pembroke",92300350,"Democrat","Bernie Sanders"
"Maine","ME","Penobscot",92300351,"Democrat","Bernie Sanders"
"Maine","ME","Penobscot Cty Townships",92300532,"Democrat","Bernie Sanders"
"Maine","ME","Penobscot Cty Townships",92300532,"Democrat","Hillary Clinton"
"Maine","ME","Penobscot Nation Vot Dst",92300212,"Democrat","Bernie Sanders"
"Maine","ME","Penobscot Nation Vot Dst",92300212,"Democrat","Hillary Clinton"
"Maine","ME","Perham",92300352,"Democrat","Bernie Sanders"
"Maine","ME","Perry",92300354,"Democrat","Bernie Sanders"
"Maine","ME","Phippsburg",92300357,"Democrat","Bernie Sanders"
"Maine","ME","Phippsburg",92300357,"Democrat","Hillary Clinton"
"Maine","ME","Piscataquis Cty Townshps",92300533,"Democrat","Bernie Sanders"
"Maine","ME","Piscataquis Cty Townshps",92300533,"Democrat","Hillary Clinton"
"Maine","ME","Pittston",92300359,"Democrat","Bernie Sanders"
"Maine","ME","Pleasant Point Votng Dst",92300360,"Democrat","Bernie Sanders"
"Maine","ME","Pleasant Point Votng Dst",92300360,"Democrat","Hillary Clinton"
"Maine","ME","Pleasant Ridge Plt.",92300361,"Democrat","Bernie Sanders"
"Maine","ME","Pleasant Ridge Plt.",92300361,"Democrat","Hillary Clinton"
"Maine","ME","Poland",92300363,"Democrat","Bernie Sanders"
"Maine","ME","Portage Lake",92300364,"Democrat","Hillary Clinton"
"Maine","ME","Porter",92300365,"Democrat","Bernie Sanders"
"Maine","ME","Portland",92300366,"Democrat","Bernie Sanders"
"Maine","ME","Presque Isle",92300368,"Democrat","Bernie Sanders"
"Maine","ME","Rangeley",92300372,"Democrat","Bernie Sanders"
"Maine","ME","Rangeley",92300372,"Democrat","Hillary Clinton"
"Maine","ME","Rangeley Plt.",92300373,"Democrat","Bernie Sanders"
"Maine","ME","Rangeley Plt.",92300373,"Democrat","Hillary Clinton"
"Maine","ME","Raymond",92300374,"Democrat","Bernie Sanders"
"Maine","ME","Readfield",92300375,"Democrat","Bernie Sanders"
"Maine","ME","Reed Plt.",92300376,"Democrat","Bernie Sanders"
"Maine","ME","Reed Plt.",92300376,"Democrat","Hillary Clinton"
"Maine","ME","Ripley",92300378,"Democrat","Bernie Sanders"
"Maine","ME","Robbinston",92300379,"Democrat","Bernie Sanders"
"Maine","ME","Rockland",92300380,"Democrat","Bernie Sanders"
"Maine","ME","Rockport",92300381,"Democrat","Bernie Sanders"
"Maine","ME","Rome",92300383,"Democrat","Bernie Sanders"
"Maine","ME","Roque Bluffs",92300384,"Democrat","Hillary Clinton"
"Maine","ME","Roxbury",92300385,"Democrat","Bernie Sanders"
"Maine","ME","Rumford",92300386,"Democrat","Bernie Sanders"
"Maine","ME","Sabattus",92300387,"Democrat","Bernie Sanders"
"Maine","ME","Saco",92300388,"Democrat","Bernie Sanders"
"Maine","ME","Saint Agatha",92300389,"Democrat","Bernie Sanders"
"Maine","ME","Saint Agatha",92300389,"Democrat","Hillary Clinton"
"Maine","ME","Sandy River Plt.",92300394,"Democrat","Bernie Sanders"
"Maine","ME","Sandy River Plt.",92300394,"Democrat","Hillary Clinton"
"Maine","ME","Sanford",92300395,"Democrat","Bernie Sanders"
"Maine","ME","Sangerville",92300396,"Democrat","Bernie Sanders"
"Maine","ME","Scarborough",92300397,"Democrat","Bernie Sanders"
"Maine","ME","Searsmont",92300398,"Democrat","Bernie Sanders"
"Maine","ME","Searsmont",92300398,"Democrat","Hillary Clinton"
"Maine","ME","Searsport",92300399,"Democrat","Bernie Sanders"
"Maine","ME","Sebago",92300400,"Democrat","Bernie Sanders"
"Maine","ME","Sebec",92300401,"Democrat","Bernie Sanders"
"Maine","ME","Seboeis Plt.",92300402,"Democrat","Bernie Sanders"
"Maine","ME","Sedgwick",92300403,"Democrat","Bernie Sanders"
"Maine","ME","Shapleigh",92300404,"Democrat","Bernie Sanders"
"Maine","ME","Shirley",92300406,"Democrat","Bernie Sanders"
"Maine","ME","Sidney",92300407,"Democrat","Bernie Sanders"
"Maine","ME","Skowhegan",92300409,"Democrat","Bernie Sanders"
"Maine","ME","Smithfield",92300410,"Democrat","Bernie Sanders"
"Maine","ME","Smyrna",92300411,"Democrat","Bernie Sanders"
"Maine","ME","Solon",92300412,"Democrat","Bernie Sanders"
"Maine","ME","Somerset Cty Townships",92300534,"Democrat","Bernie Sanders"
"Maine","ME","Somerset Cty Townships",92300534,"Democrat","Hillary Clinton"
"Maine","ME","Somerville",92300413,"Democrat","Bernie Sanders"
"Maine","ME","Sorrento",92300414,"Democrat","Bernie Sanders"
"Maine","ME","Sorrento",92300414,"Democrat","Hillary Clinton"
"Maine","ME","South Berwick",92300415,"Democrat","Bernie Sanders"
"Maine","ME","South Bristol",92300416,"Democrat","Bernie Sanders"
"Maine","ME","South Portland",92300418,"Democrat","Bernie Sanders"
"Maine","ME","South Thomaston",92300419,"Democrat","Bernie Sanders"
"Maine","ME","South Thomaston",92300419,"Democrat","Hillary Clinton"
"Maine","ME","Southport",92300417,"Democrat","Bernie Sanders"
"Maine","ME","Southport",92300417,"Democrat","Hillary Clinton"
"Maine","ME","Southwest Harbor",92300420,"Democrat","Bernie Sanders"
"Maine","ME","Springfield",92300421,"Democrat","Hillary Clinton"
"Maine","ME","St. Francis",92300391,"Democrat","Bernie Sanders"
"Maine","ME","St. Francis",92300391,"Democrat","Hillary Clinton"
