"Value","CountryName","IndicatorName"
24289.1415161326,"Aruba","GDP per capita (current US$)"
16.7109043539437,"Australia","CO2 emissions (metric tons per capita)"
51845.6548605562,"Australia","GDP per capita (current US$)"
8.12769286285823,"Austria","CO2 emissions (metric tons per capita)"
46659.8408181344,"Austria","GDP per capita (current US$)"
3.38822587905988,"Azerbaijan","CO2 emissions (metric tons per capita)"
5842.80578358576,"Azerbaijan","GDP per capita (current US$)"
6.82932128703268,"Bahamas, The","CO2 emissions (metric tons per capita)"
21920.5165867583,"Bahamas, The","GDP per capita (current US$)"
18.4350247637592,"Bahrain","CO2 emissions (metric tons per capita)"
20386.0175551115,"Bahrain","GDP per capita (current US$)"
0.37035987778582,"Bangladesh","CO2 emissions (metric tons per capita)"
760.331935200195,"Bangladesh","GDP per capita (current US$)"
5.43033845317385,"Barbados","CO2 emissions (metric tons per capita)"
15901.4329353355,"Barbados","GDP per capita (current US$)"
6.55654963119073,"Belarus","CO2 emissions (metric tons per capita)"
5818.8548592158,"Belarus","GDP per capita (current US$)"
9.98997552441917,"Belgium","CO2 emissions (metric tons per capita)"
44282.5493214554,"Belgium","GDP per capita (current US$)"
1.72170865865072,"Belize","CO2 emissions (metric tons per capita)"
4344.13666906088,"Belize","GDP per capita (current US$)"
0.541771234257552,"Benin","CO2 emissions (metric tons per capita)"
732.953622726674,"Benin","GDP per capita (current US$)"
7.3200356243474,"Bermuda","CO2 emissions (metric tons per capita)"
88207.3275597322,"Bermuda","GDP per capita (current US$)"
0.677145031003296,"Bhutan","CO2 emissions (metric tons per capita)"
2201.29307778936,"Bhutan","GDP per capita (current US$)"
1.54765908686466,"Bolivia","CO2 emissions (metric tons per capita)"
1981.16010525701,"Bolivia","GDP per capita (current US$)"
5.51399384343896,"Bosnia and Herzegovina","CO2 emissions (metric tons per capita)"
4392.4951719295,"Bosnia and Herzegovina","GDP per capita (current US$)"
2.55529338114327,"Botswana","CO2 emissions (metric tons per capita)"
6244.00257387272,"Botswana","GDP per capita (current US$)"
2.11341454484465,"Brazil","CO2 emissions (metric tons per capita)"
11124.2457796398,"Brazil","GDP per capita (current US$)"
21.8732221041337,"Brunei Darussalam","CO2 emissions (metric tons per capita)"
31453.2243965354,"Brunei Darussalam","GDP per capita (current US$)"
5.96688354790464,"Bulgaria","CO2 emissions (metric tons per capita)"
6752.55217774882,"Bulgaria","GDP per capita (current US$)"
0.107673099640188,"Burkina Faso","CO2 emissions (metric tons per capita)"
574.458089293656,"Burkina Faso","GDP per capita (current US$)"
0.0205420776426293,"Burundi","CO2 emissions (metric tons per capita)"
214.230990840075,"Burundi","GDP per capita (current US$)"
0.59823116405882,"Cabo Verde","CO2 emissions (metric tons per capita)"
3393.92749190379,"Cabo Verde","GDP per capita (current US$)"
0.291550731133576,"Cambodia","CO2 emissions (metric tons per capita)"
782.692789877004,"Cambodia","GDP per capita (current US$)"
0.325727346555959,"Cameroon","CO2 emissions (metric tons per capita)"
1147.24234678519,"Cameroon","GDP per capita (current US$)"
14.5890535391657,"Canada","CO2 emissions (metric tons per capita)"
47463.6311923649,"Canada","GDP per capita (current US$)"
10.1734493505558,"Cayman Islands","CO2 emissions (metric tons per capita)"
0.0593983360528849,"Central African Republic","CO2 emissions (metric tons per capita)"
446.800204552837,"Central African Republic","GDP per capita (current US$)"
0.0434625491115785,"Chad","CO2 emissions (metric tons per capita)"
895.877995851542,"Chad","GDP per capita (current US$)"
4.24672531044285,"Chile","CO2 emissions (metric tons per capita)"
12785.0518749485,"Chile","GDP per capita (current US$)"
6.1724888760975,"China","CO2 emissions (metric tons per capita)"
4514.9405201338,"China","GDP per capita (current US$)"
1.71139067793766,"Colombia","CO2 emissions (metric tons per capita)"
6250.65449979147,"Colombia","GDP per capita (current US$)"
0.18894081108352,"Comoros","CO2 emissions (metric tons per capita)"
739.897790576235,"Comoros","GDP per capita (current US$)"
0.0493280639148669,"Congo, Dem. Rep.","CO2 emissions (metric tons per capita)"
311.247895989099,"Congo, Dem. Rep.","GDP per capita (current US$)"
0.473472225569701,"Congo, Rep.","CO2 emissions (metric tons per capita)"
2953.18500787675,"Congo, Rep.","GDP per capita (current US$)"
1.66517786720402,"Costa Rica","CO2 emissions (metric tons per capita)"
7985.95103532732,"Costa Rica","GDP per capita (current US$)"
0.292351512964102,"Cote d'Ivoire","CO2 emissions (metric tons per capita)"
1236.08519806872,"Cote d'Ivoire","GDP per capita (current US$)"
4.72882177726782,"Croatia","CO2 emissions (metric tons per capita)"
13509.1858157682,"Croatia","GDP per capita (current US$)"
3.3922918133347,"Cuba","CO2 emissions (metric tons per capita)"
5688.66673216525,"Cuba","GDP per capita (current US$)"
6.98390754608425,"Cyprus","CO2 emissions (metric tons per capita)"
30438.9001948061,"Cyprus","GDP per capita (current US$)"
10.6133683902005,"Czech Republic","CO2 emissions (metric tons per capita)"
19763.9637984737,"Czech Republic","GDP per capita (current US$)"
8.3946577336881,"Denmark","CO2 emissions (metric tons per capita)"
57647.668762065,"Denmark","GDP per capita (current US$)"
0.622346840763503,"Djibouti","CO2 emissions (metric tons per capita)"
1358.46050004911,"Djibouti","GDP per capita (current US$)"
1.90648755743533,"Dominica","CO2 emissions (metric tons per capita)"
6937.2560836301,"Dominica","GDP per capita (current US$)"
2.15841368893036,"Dominican Republic","CO2 emissions (metric tons per capita)"
5441.96574879171,"Dominican Republic","GDP per capita (current US$)"
2.29330340391352,"Ecuador","CO2 emissions (metric tons per capita)"
4657.30173745799,"Ecuador","GDP per capita (current US$)"
2.49481706669717,"Egypt, Arab Rep.","CO2 emissions (metric tons per capita)"
2668.03598826159,"Egypt, Arab Rep.","GDP per capita (current US$)"
1.04453798797212,"El Salvador","CO2 emissions (metric tons per capita)"
3547.07098315322,"El Salvador","GDP per capita (current US$)"
6.42106187646663,"Equatorial Guinea","CO2 emissions (metric tons per capita)"
17441.0925450303,"Equatorial Guinea","GDP per capita (current US$)"
0.109470529231945,"Eritrea","CO2 emissions (metric tons per capita)"
451.426692978846,"Eritrea","GDP per capita (current US$)"
13.7731966428209,"Estonia","CO2 emissions (metric tons per capita)"
14641.4031443742,"Estonia","GDP per capita (current US$)"
0.0755915700878468,"Ethiopia","CO2 emissions (metric tons per capita)"
341.85895616943,"Ethiopia","GDP per capita (current US$)"
12.9866781971297,"Faeroe Islands","CO2 emissions (metric tons per capita)"
47381.5227624969,"Faeroe Islands","GDP per capita (current US$)"
1.50525959588442,"Fiji","CO2 emissions (metric tons per capita)"
3651.9582906354,"Fiji","GDP per capita (current US$)"
11.5308402282752,"Finland","CO2 emissions (metric tons per capita)"
46205.1660111855,"Finland","GDP per capita (current US$)"
5.49670665548453,"France","CO2 emissions (metric tons per capita)"
40705.7662299421,"France","GDP per capita (current US$)"
3.29676384458993,"French Polynesia","CO2 emissions (metric tons per capita)"
1.45544562160816,"Gabon","CO2 emissions (metric tons per capita)"
9312.04946268888,"Gabon","GDP per capita (current US$)"
0.279410774470438,"Gambia, The","CO2 emissions (metric tons per capita)"
562.568166674662,"Gambia, The","GDP per capita (current US$)"
1.46670117678764,"Georgia","CO2 emissions (metric tons per capita)"
2613.75692472768,"Georgia","GDP per capita (current US$)"
9.17981683831858,"Germany","CO2 emissions (metric tons per capita)"
41788.0447853084,"Germany","GDP per capita (current US$)"
0.415441052196722,"Ghana","CO2 emissions (metric tons per capita)"
1323.09914056856,"Ghana","GDP per capita (current US$)"
7.77492030719811,"Greece","CO2 emissions (metric tons per capita)"
26841.8554705027,"Greece","GDP per capita (current US$)"
11.6637729549249,"Greenland","CO2 emissions (metric tons per capita)"
2.48724170543672,"Grenada","CO2 emissions (metric tons per capita)"
7365.66653539866,"Grenada","GDP per capita (current US$)"
0.771619509048883,"Guatemala","CO2 emissions (metric tons per capita)"
2805.95139234116,"Guatemala","GDP per capita (current US$)"
0.225765922542267,"Guinea","CO2 emissions (metric tons per capita)"
430.0564738591,"Guinea","GDP per capita (current US$)"
0.145854597612526,"Guinea-Bissau","CO2 emissions (metric tons per capita)"
518.598360839748,"Guinea-Bissau","GDP per capita (current US$)"
2.28286401490917,"Guyana","CO2 emissions (metric tons per capita)"
2998.94127424089,"Guyana","GDP per capita (current US$)"
0.211960718095503,"Haiti","CO2 emissions (metric tons per capita)"
662.279518162433,"Haiti","GDP per capita (current US$)"
1.08047335543303,"Honduras","CO2 emissions (metric tons per capita)"
2110.8220208871,"Honduras","GDP per capita (current US$)"
5.16622989094844,"Hong Kong SAR, China","CO2 emissions (metric tons per capita)"
32549.998231121,"Hong Kong SAR, China","GDP per capita (current US$)"
5.07474962807586,"Hungary","CO2 emissions (metric tons per capita)"
13009.3453790731,"Hungary","GDP per capita (current US$)"
6.16852858593703,"Iceland","CO2 emissions (metric tons per capita)"
41620.0674537296,"Iceland","GDP per capita (current US$)"
1.58486994487788,"India","CO2 emissions (metric tons per capita)"
1387.88008401297,"India","GDP per capita (current US$)"
1.80860092013378,"Indonesia","CO2 emissions (metric tons per capita)"
3125.21993359966,"Indonesia","GDP per capita (current US$)"
7.69802909828756,"Iran, Islamic Rep.","CO2 emissions (metric tons per capita)"
6299.91873790665,"Iran, Islamic Rep.","GDP per capita (current US$)"
3.61043477945362,"Iraq","CO2 emissions (metric tons per capita)"
4487.36628937513,"Iraq","GDP per capita (current US$)"
8.81015053216393,"Ireland","CO2 emissions (metric tons per capita)"
48260.6653583236,"Ireland","GDP per capita (current US$)"
9.03666627315179,"Israel","CO2 emissions (metric tons per capita)"
30736.3638939294,"Israel","GDP per capita (current US$)"
6.83837457020099,"Italy","CO2 emissions (metric tons per capita)"
35877.8719327318,"Italy","GDP per capita (current US$)"
2.67241075596174,"Jamaica","CO2 emissions (metric tons per capita)"
4902.03473104734,"Jamaica","GDP per capita (current US$)"
9.12718504723979,"Japan","CO2 emissions (metric tons per capita)"
42909.2341523544,"Japan","GDP per capita (current US$)"
3.50324048957989,"Jordan","CO2 emissions (metric tons per capita)"
4370.72104476013,"Jordan","GDP per capita (current US$)"
15.1464782731526,"Kazakhstan","CO2 emissions (metric tons per capita)"
9070.64997199985,"Kazakhstan","GDP per capita (current US$)"
0.307975416675624,"Kenya","CO2 emissions (metric tons per capita)"
991.850545143199,"Kenya","GDP per capita (current US$)"
0.607308471670174,"Kiribati","CO2 emissions (metric tons per capita)"
1465.50457444028,"Kiribati","GDP per capita (current US$)"
2.95883370735282,"Korea, Dem. Rep.","CO2 emissions (metric tons per capita)"
11.4695874748226,"Korea, Rep.","CO2 emissions (metric tons per capita)"
22151.2088921324,"Korea, Rep.","GDP per capita (current US$)"
